scenario_id,E,N_s,N_w,p_s,p_w,r_s,r_w,q_s,q_w,k_s,k_w,c
83,18.75,3.9542968749999994,0,1,5.1000000000000005,1,0.01,0.02,0.02,4,2,0.05
84,34.375,3.9389105058365756,0,2,5.1000000000000005,1,0.01,0.02,0.02,4,2,0.05
85,18.75,3.9544061302681985,0,1,5.2,1,0.01,0.02,0.02,4,2,0.05
86,34.375,3.9393129770992363,0,2,5.2,1,0.01,0.02,0.02,4,2,0.05
87,18.75,3.954511278195488,0,1,5.3,1,0.01,0.02,0.02,4,2,0.05
88,34.375,3.939700374531835,0,2,5.3,1,0.01,0.02,0.02,4,2,0.05
89,18.75,3.9546125461254604,0,1,5.4,1,0.01,0.02,0.02,4,2,0.05
90,34.375,3.940073529411764,0,2,5.4,1,0.01,0.02,0.02,4,2,0.05
91,18.75,3.9547101449275357,0,1,5.5,1,0.01,0.02,0.02,4,2,0.05
92,34.375,3.94043321299639,0,2,5.5,1,0.01,0.02,0.02,4,2,0.05
93,18.75,3.9548042704626334,0,1,5.6000000000000005,1,0.01,0.02,0.02,4,2,0.05
94,34.375,3.940780141843972,0,2,5.6000000000000005,1,0.01,0.02,0.02,4,2,0.05
95,18.75,3.954895104895104,0,1,5.7,1,0.01,0.02,0.02,4,2,0.05
96,34.375,3.941114982578397,0,2,5.7,1,0.01,0.02,0.02,4,2,0.05
97,18.75,3.9549828178694155,0,1,5.800000000000001,1,0.01,0.02,0.02,4,2,0.05
98,34.375,3.941438356164384,0,2,5.800000000000001,1,0.01,0.02,0.02,4,2,0.05
99,18.75,3.955067567567567,0,1,5.9,1,0.01,0.02,0.02,4,2,0.05
100,34.375,3.941750841750842,0,2,5.9,1,0.01,0.02,0.02,4,2,0.05
101,18.75,3.9551495016611287,0,1,6,1,0.01,0.02,0.02,4,2,0.05
102,34.375,3.9420529801324498,0,2,6,1,0.01,0.02,0.02,4,2,0.05
103,18.75,3.955228758169934,0,1,6.1000000000000005,1,0.01,0.02,0.02,4,2,0.05
104,34.375,3.942345276872964,0,2,6.1000000000000005,1,0.01,0.02,0.02,4,2,0.05
105,18.75,3.955305466237942,0,1,6.2,1,0.01,0.02,0.02,4,2,0.05
106,34.375,3.942628205128205,0,2,6.2,1,0.01,0.02,0.02,4,2,0.05
107,18.75,3.9553797468354426,0,1,6.300000000000001,1,0.01,0.02,0.02,4,2,0.05
108,34.375,3.9429022082018927,0,2,6.300000000000001,1,0.01,0.02,0.02,4,2,0.05
109,18.75,3.9554517133956386,0,1,6.4,1,0.01,0.02,0.02,4,2,0.05
110,34.375,3.943167701863354,0,2,6.4,1,0.01,0.02,0.02,4,2,0.05
111,18.75,3.9555214723926375,0,1,6.5,1,0.01,0.02,0.02,4,2,0.05
112,34.375,3.9434250764525993,0,2,6.5,1,0.01,0.02,0.02,4,2,0.05
113,18.75,3.9555891238670684,0,1,6.6000000000000005,1,0.01,0.02,0.02,4,2,0.05
114,34.375,3.94367469879518,0,2,6.6000000000000005,1,0.01,0.02,0.02,4,2,0.05
115,18.75,3.955654761904762,0,1,6.7,1,0.01,0.02,0.02,4,2,0.05
116,34.375,3.943916913946588,0,2,6.7,1,0.01,0.02,0.02,4,2,0.05
117,18.75,3.9557184750733128,0,1,6.800000000000001,1,0.01,0.02,0.02,4,2,0.05
118,34.375,3.9441520467836253,0,2,6.800000000000001,1,0.01,0.02,0.02,4,2,0.05
119,18.75,3.955780346820809,0,1,6.9,1,0.01,0.02,0.02,4,2,0.05
120,34.375,3.944380403458213,0,2,6.9,1,0.01,0.02,0.02,4,2,0.05
121,18.75,3.9558404558404563,0,1,7,1,0.01,0.02,0.02,4,2,0.05
122,34.375,3.9446022727272734,0,2,7,1,0.01,0.02,0.02,4,2,0.05
123,18.75,3.955898876404494,0,1,7.1000000000000005,1,0.01,0.02,0.02,4,2,0.05
124,34.375,3.944817927170868,0,2,7.1000000000000005,1,0.01,0.02,0.02,4,2,0.05
125,18.75,3.9559556786703602,0,1,7.2,1,0.01,0.02,0.02,4,2,0.05
126,34.375,3.9450276243093927,0,2,7.2,1,0.01,0.02,0.02,4,2,0.05
127,18.75,3.9560109289617484,0,1,7.300000000000001,1,0.01,0.02,0.02,4,2,0.05
128,34.375,3.9452316076294283,0,2,7.300000000000001,1,0.01,0.02,0.02,4,2,0.05
129,18.75,3.956064690026954,0,1,7.4,1,0.01,0.02,0.02,4,2,0.05
130,34.375,3.9454301075268816,0,2,7.4,1,0.01,0.02,0.02,4,2,0.05
131,18.75,3.956117021276595,0,1,7.5,1,0.01,0.02,0.02,4,2,0.05
132,34.375,3.945623342175066,0,2,7.5,1,0.01,0.02,0.02,4,2,0.05
133,18.75,3.956167979002625,0,1,7.6000000000000005,1,0.01,0.02,0.02,4,2,0.05
134,34.375,3.945811518324608,0,2,7.6000000000000005,1,0.01,0.02,0.02,4,2,0.05
135,18.75,3.9562176165803105,0,1,7.7,1,0.01,0.02,0.02,4,2,0.05
136,34.375,3.945994832041343,0,2,7.7,1,0.01,0.02,0.02,4,2,0.05
137,18.75,3.9562659846547317,0,1,7.800000000000001,1,0.01,0.02,0.02,4,2,0.05
138,34.375,3.9461734693877557,0,2,7.800000000000001,1,0.01,0.02,0.02,4,2,0.05
139,18.75,3.956313131313131,0,1,7.9,1,0.01,0.02,0.02,4,2,0.05
140,34.375,3.9463476070528962,0,2,7.9,1,0.01,0.02,0.02,4,2,0.05
141,18.75,3.9563591022443885,0,1,8,1,0.01,0.02,0.02,4,2,0.05
142,34.375,3.9465174129353233,0,2,8,1,0.01,0.02,0.02,4,2,0.05
143,18.75,3.9564039408866996,0,1,8.100000000000001,1,0.01,0.02,0.02,4,2,0.05
144,34.375,3.946683046683047,0,2,8.100000000000001,1,0.01,0.02,0.02,4,2,0.05
145,18.75,3.9564476885644764,0,1,8.2,1,0.01,0.02,0.02,4,2,0.05
146,34.375,3.9468446601941745,0,2,8.2,1,0.01,0.02,0.02,4,2,0.05
147,18.75,3.956490384615384,0,1,8.3,1,0.01,0.02,0.02,4,2,0.05
148,34.375,3.9470023980815343,0,2,8.3,1,0.01,0.02,0.02,4,2,0.05
149,18.75,3.9565320665083137,0,1,8.4,1,0.01,0.02,0.02,4,2,0.05
150,34.375,3.9471563981042657,0,2,8.4,1,0.01,0.02,0.02,4,2,0.05
151,18.75,3.9565727699530515,0,1,8.5,1,0.01,0.02,0.02,4,2,0.05
152,34.375,3.947306791569087,0,2,8.5,1,0.01,0.02,0.02,4,2,0.05
153,18.75,3.9566125290023204,0,1,8.600000000000001,1,0.01,0.02,0.02,4,2,0.05
154,34.375,3.947453703703704,0,2,8.600000000000001,1,0.01,0.02,0.02,4,2,0.05
155,18.75,3.9566513761467887,0,1,8.7,1,0.01,0.02,0.02,4,2,0.05
156,34.375,3.947597254004577,0,2,8.7,1,0.01,0.02,0.02,4,2,0.05
157,18.75,3.9566893424036276,0,1,8.8,1,0.01,0.02,0.02,4,2,0.05
158,34.375,3.9477375565610857,0,2,8.8,1,0.01,0.02,0.02,4,2,0.05
159,18.75,3.9567264573991032,0,1,8.9,1,0.01,0.02,0.02,4,2,0.05
160,34.375,3.9478747203579423,0,2,8.9,1,0.01,0.02,0.02,4,2,0.05
161,18.75,3.9567627494456756,0,1,9,1,0.01,0.02,0.02,4,2,0.05
162,34.375,3.948008849557522,0,2,9,1,0.01,0.02,0.02,4,2,0.05
163,18.75,3.956798245614035,0,1,9.1,1,0.01,0.02,0.02,4,2,0.05
164,34.375,3.9481400437636762,0,2,9.1,1,0.01,0.02,0.02,4,2,0.05
165,18.75,3.956832971800434,0,1,9.200000000000001,1,0.01,0.02,0.02,4,2,0.05
166,34.375,3.9482683982683984,0,2,9.200000000000001,1,0.01,0.02,0.02,4,2,0.05
167,18.75,3.9568669527896994,0,1,9.3,1,0.01,0.02,0.02,4,2,0.05
168,34.375,3.948394004282655,0,2,9.3,1,0.01,0.02,0.02,4,2,0.05
169,18.75,3.9569002123142245,0,1,9.4,1,0.01,0.02,0.02,4,2,0.05
170,34.375,3.948516949152542,0,2,9.4,1,0.01,0.02,0.02,4,2,0.05
171,18.75,3.9569327731092434,0,1,9.5,1,0.01,0.02,0.02,4,2,0.05
172,34.375,3.948637316561845,0,2,9.5,1,0.01,0.02,0.02,4,2,0.05
173,18.75,3.956964656964657,0,1,9.6,1,0.01,0.02,0.02,4,2,0.05
174,34.375,3.948755186721992,0,2,9.6,1,0.01,0.02,0.02,4,2,0.05
175,18.75,3.9569958847736624,0,1,9.700000000000001,1,0.01,0.02,0.02,4,2,0.05
176,34.375,3.948870636550308,0,2,9.700000000000001,1,0.01,0.02,0.02,4,2,0.05
177,18.75,3.957026476578411,0,1,9.8,1,0.01,0.02,0.02,4,2,0.05
178,34.375,3.9489837398373977,0,2,9.8,1,0.01,0.02,0.02,4,2,0.05
179,18.75,3.9570564516129028,0,1,9.9,1,0.01,0.02,0.02,4,2,0.05
180,34.375,3.949094567404426,0,2,9.9,1,0.01,0.02,0.02,4,2,0.05
181,18.75,3.9570858283433137,0,1,10,1,0.01,0.02,0.02,4,2,0.05
182,34.375,3.9492031872509963,0,2,10,1,0.01,0.02,0.02,4,2,0.05
