scenario_id,E,N_s,N_w,p_s,p_w,r_s,r_w,q_s,q_w,k_s,k_w,c
133,43.872549019607845,3.638838475499093,0,5.1000000000000005,1,1,0.01,0.02,0.02,4,2,0.05
134,43.99038461538461,3.6322463768115947,0,5.2,1,1,0.01,0.02,0.02,4,2,0.05
135,44.10377358490566,3.6256781193490055,0,5.3,1,1,0.01,0.02,0.02,4,2,0.05
136,44.21296296296296,3.61913357400722,0,5.4,1,1,0.01,0.02,0.02,4,2,0.05
137,44.31818181818182,3.612612612612613,0,5.5,1,1,0.01,0.02,0.02,4,2,0.05
138,44.41964285714286,3.606115107913669,0,5.6000000000000005,1,1,0.01,0.02,0.02,4,2,0.05
139,44.51754385964912,3.599640933572711,0,5.7,1,1,0.01,0.02,0.02,4,2,0.05
140,44.612068965517246,3.5931899641577063,0,5.800000000000001,1,1,0.01,0.02,0.02,4,2,0.05
141,44.70338983050848,3.5867620751341684,0,5.9,1,1,0.01,0.02,0.02,4,2,0.05
142,44.79166666666667,3.580357142857143,0,6,1,1,0.01,0.02,0.02,4,2,0.05
143,44.877049180327866,3.57397504456328,0,6.1000000000000005,1,1,0.01,0.02,0.02,4,2,0.05
144,44.95967741935484,3.5676156583629894,0,6.2,1,1,0.01,0.02,0.02,4,2,0.05
145,45.03968253968254,3.561278863232682,0,6.300000000000001,1,1,0.01,0.02,0.02,4,2,0.05
146,45.1171875,3.5549645390070923,0,6.4,1,1,0.01,0.02,0.02,4,2,0.05
147,45.19230769230769,3.5486725663716814,0,6.5,1,1,0.01,0.02,0.02,4,2,0.05
148,45.265151515151516,3.5424028268551235,0,6.6000000000000005,1,1,0.01,0.02,0.02,4,2,0.05
149,45.33582089552239,3.53615520282187,0,6.7,1,1,0.01,0.02,0.02,4,2,0.05
150,45.404411764705884,3.529929577464789,0,6.800000000000001,1,1,0.01,0.02,0.02,4,2,0.05
151,45.471014492753625,3.5237258347978915,0,6.9,1,1,0.01,0.02,0.02,4,2,0.05
152,45.535714285714285,3.517543859649123,0,7,1,1,0.01,0.02,0.02,4,2,0.05
153,45.598591549295776,3.51138353765324,0,7.1000000000000005,1,1,0.01,0.02,0.02,4,2,0.05
154,45.65972222222222,3.5052447552447554,0,7.2,1,1,0.01,0.02,0.02,4,2,0.05
155,45.71917808219178,3.49912739965096,0,7.300000000000001,1,1,0.01,0.02,0.02,4,2,0.05
156,45.77702702702703,3.4930313588850175,0,7.4,1,1,0.01,0.02,0.02,4,2,0.05
157,45.83333333333333,3.4869565217391307,0,7.5,1,1,0.01,0.02,0.02,4,2,0.05
158,45.88815789473684,3.480902777777778,0,7.6000000000000005,1,1,0.01,0.02,0.02,4,2,0.05
159,45.94155844155844,3.4748700173310225,0,7.7,1,1,0.01,0.02,0.02,4,2,0.05
160,45.993589743589745,3.4688581314878895,0,7.800000000000001,1,1,0.01,0.02,0.02,4,2,0.05
161,46.04430379746836,3.46286701208981,0,7.9,1,1,0.01,0.02,0.02,4,2,0.05
162,46.09375,3.4568965517241383,0,8,1,1,0.01,0.02,0.02,4,2,0.05
163,46.141975308641975,3.450946643717728,0,8.100000000000001,1,1,0.01,0.02,0.02,4,2,0.05
164,46.1890243902439,3.4450171821305844,0,8.2,1,1,0.01,0.02,0.02,4,2,0.05
165,46.234939759036145,3.4391080617495713,0,8.3,1,1,0.01,0.02,0.02,4,2,0.05
166,46.279761904761905,3.433219178082192,0,8.4,1,1,0.01,0.02,0.02,4,2,0.05
167,46.32352941176471,3.4273504273504276,0,8.5,1,1,0.01,0.02,0.02,4,2,0.05
168,46.366279069767444,3.421501706484642,0,8.600000000000001,1,1,0.01,0.02,0.02,4,2,0.05
169,46.40804597701149,3.415672913117547,0,8.7,1,1,0.01,0.02,0.02,4,2,0.05
170,46.44886363636363,3.4098639455782314,0,8.8,1,1,0.01,0.02,0.02,4,2,0.05
171,46.48876404494382,3.404074702886248,0,8.9,1,1,0.01,0.02,0.02,4,2,0.05
172,46.52777777777778,3.398305084745763,0,9,1,1,0.01,0.02,0.02,4,2,0.05
