scenario_id,E,N_s,N_w,p_w,p_s,r_s,r_w,q_s,q_w,k_s,k_w,c
111,38.28125,3.918877551020409,0,2.9000000000000004,2,1,0.01,0.02,0.02,4,2,0.0375
112,38.28125,3.9202302631578947,0,3,2,1,0.01,0.02,0.02,4,2,0.0375
113,38.28125,3.9214968152866247,0,3.1,2,1,0.01,0.02,0.02,4,2,0.0375
114,38.28125,3.922685185185186,0,3.2,2,1,0.01,0.02,0.02,4,2,0.0375
115,38.28125,3.923802395209581,0,3.3000000000000003,2,1,0.01,0.02,0.02,4,2,0.0375
116,38.28125,3.9248546511627906,0,3.4000000000000004,2,1,0.01,0.02,0.02,4,2,0.0375
117,38.28125,3.92584745762712,0,3.5,2,1,0.01,0.02,0.02,4,2,0.0375
118,38.28125,3.926785714285715,0,3.6,2,1,0.01,0.02,0.02,4,2,0.0375
119,38.28125,3.9276737967914443,0,3.7,2,1,0.01,0.02,0.02,4,2,0.0375
120,38.28125,3.928515625000001,0,3.8000000000000003,2,1,0.01,0.02,0.02,4,2,0.0375
121,38.28125,3.929314720812184,0,3.9000000000000004,2,1,0.01,0.02,0.02,4,2,0.0375
122,38.28125,3.930074257425743,0,4,2,1,0.01,0.02,0.02,4,2,0.0375
123,38.28125,3.9307971014492757,0,4.1,2,1,0.01,0.02,0.02,4,2,0.0375
124,38.28125,3.9314858490566045,0,4.2,2,1,0.01,0.02,0.02,4,2,0.0375
125,38.28125,3.932142857142858,0,4.300000000000001,2,1,0.01,0.02,0.02,4,2,0.0375
126,38.28125,3.9327702702702707,0,4.4,2,1,0.01,0.02,0.02,4,2,0.0375
127,38.28125,3.9333700440528636,0,4.5,2,1,0.01,0.02,0.02,4,2,0.0375
128,38.28125,3.933943965517242,0,4.6,2,1,0.01,0.02,0.02,4,2,0.0375
129,38.28125,3.9344936708860763,0,4.7,2,1,0.01,0.02,0.02,4,2,0.0375
130,38.28125,3.935020661157025,0,4.800000000000001,2,1,0.01,0.02,0.02,4,2,0.0375
