time,stock_price,price,scenario_label
15.100000000000001,Strong stock,1,None
15.100000000000001,Weak stock,1,None
15.200000000000001,Strong stock,1,None
15.200000000000001,Weak stock,1,None
15.3,Strong stock,1,None
15.3,Weak stock,1,None
15.4,Strong stock,1,None
15.4,Weak stock,1,None
15.5,Strong stock,1,None
15.5,Weak stock,1,None
15.600000000000001,Strong stock,1,None
15.600000000000001,Weak stock,1,None
15.700000000000001,Strong stock,1,None
15.700000000000001,Weak stock,1,None
15.8,Strong stock,1,None
15.8,Weak stock,1,None
15.9,Strong stock,1,None
15.9,Weak stock,1,None
16,Strong stock,1,None
16,Weak stock,1,None
16.1,Strong stock,1,None
16.1,Weak stock,1,None
16.2,Strong stock,1,None
16.2,Weak stock,1,None
16.3,Strong stock,1,None
16.3,Weak stock,1,None
16.400000000000002,Strong stock,1,None
16.400000000000002,Weak stock,1,None
16.5,Strong stock,1,None
16.5,Weak stock,1,None
16.6,Strong stock,1,None
16.6,Weak stock,1,None
16.7,Strong stock,1,None
16.7,Weak stock,1,None
16.8,Strong stock,1,None
16.8,Weak stock,1,None
16.900000000000002,Strong stock,1,None
16.900000000000002,Weak stock,1,None
17,Strong stock,1,None
17,Weak stock,1,None
17.1,Strong stock,1,None
17.1,Weak stock,1,None
17.2,Strong stock,1,None
17.2,Weak stock,1,None
17.3,Strong stock,1,None
17.3,Weak stock,1,None
17.400000000000002,Strong stock,1,None
17.400000000000002,Weak stock,1,None
17.5,Strong stock,1,None
17.5,Weak stock,1,None
17.6,Strong stock,1,None
17.6,Weak stock,1,None
17.7,Strong stock,1,None
17.7,Weak stock,1,None
17.8,Strong stock,1,None
17.8,Weak stock,1,None
17.900000000000002,Strong stock,1,None
17.900000000000002,Weak stock,1,None
18,Strong stock,1,None
18,Weak stock,1,None
18.1,Strong stock,1,None
18.1,Weak stock,1,None
18.2,Strong stock,1,None
18.2,Weak stock,1,None
18.3,Strong stock,1,None
18.3,Weak stock,1,None
18.400000000000002,Strong stock,1,None
18.400000000000002,Weak stock,1,None
18.5,Strong stock,1,None
18.5,Weak stock,1,None
18.6,Strong stock,1,None
18.6,Weak stock,1,None
18.7,Strong stock,1,None
18.7,Weak stock,1,None
18.8,Strong stock,1,None
18.8,Weak stock,1,None
18.900000000000002,Strong stock,1,None
18.900000000000002,Weak stock,1,None
19,Strong stock,1,None
19,Weak stock,1,None
19.1,Strong stock,1,None
19.1,Weak stock,1,None
19.200000000000003,Strong stock,1,None
19.200000000000003,Weak stock,1,None
19.3,Strong stock,1,None
19.3,Weak stock,1,None
19.400000000000002,Strong stock,1,None
19.400000000000002,Weak stock,1,None
19.5,Strong stock,1,None
19.5,Weak stock,1,None
19.6,Strong stock,1,None
19.6,Weak stock,1,None
19.700000000000003,Strong stock,1,None
19.700000000000003,Weak stock,1,None
19.8,Strong stock,1,None
19.8,Weak stock,1,None
19.900000000000002,Strong stock,1,None
19.900000000000002,Weak stock,1,None
20,Strong stock,1,None
20,Weak stock,1,None
20.1,Strong stock,1,None
20.1,Weak stock,1,None
20.200000000000003,Strong stock,1,None
20.200000000000003,Weak stock,1,None
20.3,Strong stock,1,None
20.3,Weak stock,1,None
20.400000000000002,Strong stock,1,None
