time,stock_catch,catch_size,scenario_label
6.1000000000000005,Weak stock,0.02999069954233245,None
6.2,Strong stock,0.06039439500959274,None
6.2,Weak stock,0.030193104321077666,None
6.300000000000001,Strong stock,0.06080195566641825,None
6.300000000000001,Weak stock,0.030396824339156917,None
6.4,Strong stock,0.061212162427642824,None
6.4,Weak stock,0.03060186688285128,None
6.5,Strong stock,0.06162503006306506,None
6.5,Weak stock,0.03080823930973365,None
6.6000000000000005,Strong stock,0.062040573476758745,None
6.6000000000000005,Weak stock,0.031015949045485436,None
6.7,Strong stock,0.06245880770138384,None
6.7,Weak stock,0.031225003580987586,None
6.800000000000001,Strong stock,0.06287974789299261,None
6.800000000000001,Weak stock,0.031435410469661876,None
6.9,Strong stock,0.0633034093262869,None
6.9,Weak stock,0.03164717732504023,None
7,Strong stock,0.06372980739028614,None
