time,stock_cpue,cpue_level,scenario_label
6.1000000000000005,Weak stock,0.0394265021949625,None
6.2,Strong stock,0.07885563751062967,None
6.2,Weak stock,0.03942247437507002,None
6.300000000000001,Strong stock,0.07884762951378398,None
6.300000000000001,Weak stock,0.03941842852948159,None
6.4,Strong stock,0.07883958332110858,None
6.4,Weak stock,0.03941436371805911,None
6.5,Strong stock,0.07883149725548404,None
6.5,Weak stock,0.03941027907176925,None
6.6000000000000005,Strong stock,0.07882336976439593,None
6.6000000000000005,Weak stock,0.03940617378596299,None
6.7,Strong stock,0.07881519940802442,None
6.7,Weak stock,0.03940204711428213,None
6.800000000000001,Strong stock,0.0788069848484555,None
6.800000000000001,Weak stock,0.03939789836313417,None
6.9,Strong stock,0.07879872483990796,None
6.9,Weak stock,0.03939372688668255,None
7,Strong stock,0.07879041821988049,None
